IQ,Academic_Performance,Internship_Experience,Placement,CGPA_bin,Comm_bin,Projects_bin
95,10,No,No,Medium,Low,Medium
95,5,Yes,No,Medium,Medium,Low
111,3,No,No,Low,Medium,Medium
105,4,Yes,No,Low,Low,Medium
108,4,No,Yes,High,High,Medium
114,6,No,Yes,High,High,Medium
95,10,No,No,Low,High,High
90,7,No,No,Low,Medium,Low
83,7,Yes,No,High,Medium,Medium
87,8,No,No,Medium,Low,High
144,3,Yes,Yes,High,Medium,Medium
118,5,Yes,Yes,High,Low,High
79,10,No,No,Medium,High,Low
80,6,No,No,Medium,Medium,Medium
107,6,No,No,High,Low,Medium
108,8,Yes,No,Low,High,High
108,5,No,No,Low,High,Low
96,5,Yes,No,Low,High,Medium
98,1,Yes,No,High,Low,Medium
104,1,No,No,High,Low,High
101,6,Yes,No,Low,Low,Low
66,10,Yes,No,High,High,Low
96,10,No,No,Medium,Medium,Medium
87,5,Yes,No,High,High,High
102,10,Yes,No,Low,High,Medium
144,6,No,No,High,Medium,High
105,9,No,No,,Medium,High
95,8,No,No,Low,Medium,High
113,7,Yes,No,Medium,Medium,Low
107,7,No,No,Low,Medium,Medium
106,6,No,No,Medium,Medium,High
109,6,Yes,No,Medium,High,Low
130,1,No,Yes,High,Low,High
83,7,No,Yes,High,High,Medium
107,5,No,No,Medium,Medium,Medium
86,7,No,Yes,High,High,Medium
108,6,No,No,High,Medium,Medium
86,8,No,No,High,Low,Low
93,3,Yes,No,Medium,High,High
95,8,Yes,No,Low,Low,High
114,7,No,No,Medium,Medium,High
113,1,No,No,Medium,Low,Low
81,3,No,No,High,Medium,Low
100,10,Yes,No,High,Low,Low
89,4,No,No,Low,High,Low
81,9,Yes,No,Low,Low,High
96,6,No,No,High,Medium,High
95,7,No,No,Medium,High,High
136,5,No,Yes,High,Low,Medium
106,3,Yes,No,Low,Medium,High
79,5,Yes,No,Medium,Medium,High
91,7,No,No,Medium,Medium,Low
115,9,No,Yes,High,High,Low
131,9,Yes,No,Low,Low,High
76,8,No,No,Medium,Medium,Medium
71,5,No,No,Medium,Medium,High
128,7,Yes,Yes,High,Low,Medium
105,4,Yes,Yes,,High,High
86,10,No,No,High,Low,High
108,5,Yes,No,,Low,High
60,4,Yes,No,Low,Low,Low
100,3,No,No,Low,Medium,Medium
104,1,No,No,Low,Low,High
113,5,No,No,Medium,Low,Medium
84,2,Yes,No,High,Medium,Medium
101,6,No,No,High,Low,High
86,5,No,No,Medium,High,High
103,2,Yes,No,High,Low,Medium
86,8,No,Yes,High,High,High
93,5,No,No,Medium,Low,Low
85,2,Yes,No,Low,Medium,Low
109,1,Yes,No,Medium,High,Medium
112,2,No,Yes,Medium,High,Medium
96,1,Yes,No,High,Low,Low
100,10,No,No,Medium,Medium,Medium
78,10,No,No,Low,Low,Medium
95,3,No,No,,Medium,High
99,3,Yes,No,High,Low,High
139,10,No,Yes,Medium,High,High
83,1,No,No,High,Low,Medium
121,7,Yes,No,Low,Low,High
114,10,No,No,Low,Medium,High
104,7,No,Yes,High,High,High
126,9,Yes,Yes,Medium,High,Medium
105,5,Yes,No,High,Medium,Low
105,4,Yes,No,Medium,High,High
99,5,No,No,Low,High,High
118,8,No,Yes,High,Low,Medium
116,8,Yes,No,Low,Medium,Medium
90,4,No,No,High,High,Low
80,8,Yes,No,High,Low,Low
96,4,No,No,,High,Low
87,4,Yes,No,High,Medium,High
99,8,Yes,No,Medium,Low,Low
118,2,No,Yes,High,Low,Medium
93,4,No,No,High,Low,High
99,1,No,No,High,Low,High
100,1,No,No,High,Low,High
112,8,No,No,High,Medium,Low
66,4,No,No,Medium,Low,High
90,6,Yes,No,High,Medium,Medium
103,5,No,No,Medium,Medium,Medium
118,10,Yes,No,Low,Low,Low
92,6,Yes,No,High,Medium,Low
71,4,No,No,Low,Low,Low
109,4,No,No,Low,High,Medium
90,7,No,No,Low,Medium,High
82,1,No,No,High,Low,High
90,9,Yes,No,Medium,Low,Medium
97,10,No,No,High,Low,High
90,3,No,No,Medium,Low,Medium
66,4,No,No,High,High,High
113,9,No,No,Medium,Low,High
119,5,No,Yes,High,High,Low
109,4,No,No,Medium,Low,High
82,6,Yes,No,High,Medium,Medium
96,1,No,No,High,Low,Medium
99,10,No,Yes,High,High,Medium
108,1,No,No,High,High,Low
110,5,Yes,No,Medium,High,High
88,5,No,No,Medium,Medium,High
101,9,No,No,High,Low,High
106,1,No,No,High,Low,Low
121,3,No,Yes,High,Medium,High
110,3,No,Yes,High,High,Medium
111,4,No,Yes,High,Medium,High
101,7,Yes,No,Medium,Low,Medium
121,7,Yes,Yes,High,Low,High
106,10,No,No,High,Medium,Medium
87,5,Yes,No,High,Medium,Low
121,9,No,No,Medium,Medium,Medium
110,7,Yes,No,High,Low,Low
93,2,Yes,No,High,Medium,High
92,3,Yes,No,Low,Medium,Low
104,7,No,No,High,Medium,Low
106,5,No,No,Medium,Medium,Low
102,7,No,No,,Medium,High
104,9,No,No,Medium,Low,High
125,9,No,Yes,Medium,High,Medium
116,3,Yes,No,Medium,Medium,High
102,8,Yes,No,High,Low,Medium
114,6,No,Yes,Low,High,High
84,4,No,Yes,High,High,Medium
105,4,No,No,,Low,Low
127,4,No,Yes,High,Low,Medium
96,7,Yes,No,Low,Medium,Medium
87,6,Yes,No,,Medium,Low
90,2,No,No,High,Medium,Medium
83,5,Yes,No,Medium,High,Medium
88,5,Yes,No,Low,High,High
94,6,Yes,No,Low,High,Medium
78,7,No,No,High,Low,Medium
100,8,Yes,No,Low,High,Medium
113,10,Yes,No,Low,Low,Low
86,8,No,No,High,High,Low
122,5,Yes,No,High,High,Low
107,2,Yes,No,High,Low,Medium
115,10,Yes,Yes,High,Low,Medium
90,8,Yes,No,Low,Medium,High
112,6,No,Yes,High,Low,Medium
83,3,Yes,No,Medium,Low,Medium
113,4,No,No,High,Low,High
102,1,Yes,No,High,High,Medium
108,3,No,No,Low,High,Medium
82,4,No,No,High,Medium,Low
86,2,No,No,Medium,Low,Low
108,6,No,No,Low,Low,High
85,8,Yes,Yes,High,High,High
106,6,No,No,High,Low,Low
79,10,No,No,High,Low,High
112,3,No,No,High,Low,High
81,9,Yes,No,High,Low,High
108,4,Yes,No,Low,Low,Low
109,6,No,No,Medium,High,Low
89,4,No,No,Medium,Medium,Low
108,4,No,No,Low,Low,Medium
103,2,No,Yes,High,High,High
91,10,Yes,No,Medium,Medium,High
84,2,No,No,Medium,Medium,Medium
70,2,No,No,Low,High,High
105,2,No,No,High,Low,Medium
76,8,Yes,No,High,Low,Low
101,10,No,No,Medium,High,Medium
96,4,Yes,No,High,Medium,Medium
110,4,No,No,Low,Medium,High
95,10,No,No,High,High,High
95,10,No,No,Low,Low,High
110,3,No,No,High,Medium,High
105,5,No,No,High,Medium,Low
104,4,No,No,High,Low,Low
107,7,Yes,No,Medium,Low,Low
76,10,No,No,High,High,Low
111,7,No,No,High,Medium,Medium
109,6,Yes,No,High,Medium,High
84,7,No,No,Medium,High,Medium
96,7,Yes,No,Medium,Medium,Low
99,8,Yes,No,High,Medium,Low
97,1,Yes,No,Low,Low,Low
105,3,No,No,Low,Low,Medium
121,3,No,No,Low,Low,Medium
116,5,No,No,High,Medium,Low
80,10,Yes,No,Low,High,High
109,7,Yes,No,High,Low,Medium
119,10,No,No,Medium,Low,Medium
105,6,Yes,No,Low,High,High
116,4,No,Yes,Medium,High,Medium
130,6,No,No,Medium,Low,Low
115,7,No,Yes,High,High,Low
103,4,No,No,High,Medium,Low
115,8,Yes,No,High,Medium,High
102,5,No,No,Low,Low,Low
100,3,Yes,No,High,Medium,Medium
94,2,No,No,High,Medium,Medium
123,1,No,Yes,High,Low,High
87,4,No,No,High,Low,Medium
122,2,Yes,No,Low,Medium,Low
107,3,No,No,High,Low,Medium
79,1,No,No,Medium,Low,Low
105,6,No,No,Low,Low,Medium
68,4,No,No,High,Medium,Medium
109,5,No,No,High,Low,Medium
113,8,No,Yes,High,Low,Medium
91,4,No,No,Medium,Medium,High
101,6,No,No,Medium,Low,Medium
129,3,No,No,High,High,Low
92,8,No,No,High,Medium,High
84,3,Yes,No,Low,Low,High
122,7,No,No,High,Low,Low
129,7,No,No,Medium,Medium,High
100,3,Yes,Yes,High,High,High
115,3,Yes,Yes,High,Low,High
120,10,No,Yes,Medium,High,High
88,10,No,No,Medium,High,Medium
92,8,Yes,No,High,High,Low
118,3,No,Yes,High,Medium,Medium
125,2,No,Yes,High,Low,High
108,5,Yes,No,High,Medium,High
86,7,Yes,No,Low,High,High
129,8,No,Yes,High,Medium,Medium
92,1,Yes,No,Medium,Medium,High
94,2,Yes,No,High,Low,Low
105,7,Yes,No,Medium,Low,Medium
123,9,Yes,Yes,High,Low,Medium
112,3,Yes,No,Medium,Low,High
106,8,Yes,No,Medium,Medium,Low
106,10,No,No,Medium,High,Low
100,3,No,No,High,Low,Low
108,4,Yes,No,High,Low,Low
62,2,No,No,High,Medium,High
95,9,Yes,No,Medium,Medium,Medium
103,5,No,No,High,Low,High
82,5,Yes,No,High,Medium,High
105,4,No,No,Low,Low,Low
96,5,Yes,No,Medium,High,High
126,1,No,No,Medium,Medium,Medium
123,10,Yes,No,Medium,Low,Low
93,10,Yes,No,Medium,High,High
97,6,No,No,High,Medium,Low
98,4,No,No,Medium,Low,Low
93,4,No,No,High,Medium,Medium
102,5,No,No,,Low,High
88,1,Yes,No,Medium,Low,High
83,4,No,No,High,High,Low
109,10,No,No,Low,High,High
109,3,Yes,No,High,Medium,Medium
87,5,No,No,Medium,Medium,Medium
113,10,No,No,High,Low,Medium
90,5,Yes,No,High,Medium,High
103,8,Yes,No,High,High,High
112,1,Yes,Yes,High,Medium,High
99,3,No,No,Medium,High,Low
106,5,No,No,Low,Medium,Medium
92,3,No,Yes,High,High,High
97,6,No,No,Low,Low,Low
96,10,Yes,No,High,High,Low
88,3,Yes,No,Low,High,Low
97,6,No,No,High,Medium,Low
76,8,No,No,Low,High,Medium
92,4,Yes,No,Medium,Medium,Low
95,8,Yes,No,High,Medium,High
96,7,Yes,No,High,High,High
96,4,Yes,No,Medium,Low,High
99,3,Yes,No,High,High,High
107,5,Yes,No,Medium,Medium,Low
113,5,Yes,Yes,Medium,High,High
90,7,No,No,Medium,High,High
81,1,No,No,High,Low,Low
84,9,No,No,Medium,Medium,High
92,2,No,No,High,Low,Medium
94,9,No,No,High,Low,High
88,9,No,No,Low,Low,Low
80,3,Yes,No,Medium,Medium,High
93,7,No,No,High,Low,Low
102,3,Yes,No,Low,High,Low
108,8,Yes,Yes,High,High,High
91,8,No,Yes,High,High,High
93,3,Yes,No,Medium,Medium,Low
86,5,No,No,High,Medium,High
99,7,No,No,Medium,Low,Low
87,1,Yes,No,Medium,Medium,Medium
108,3,Yes,No,High,Low,High
73,1,Yes,No,High,Medium,Low
94,2,No,Yes,High,High,Medium
104,7,Yes,No,High,Medium,Low
102,7,No,No,High,Low,Medium
140,3,Yes,No,High,Low,Low
105,6,Yes,No,Low,Low,High
84,6,No,No,High,Low,Low
98,2,No,No,High,High,Low
73,9,No,No,Low,Medium,Low
98,8,No,No,Medium,Low,Low
87,2,No,No,Low,Medium,High
113,4,No,Yes,High,Medium,High
91,9,No,No,High,Low,Medium
98,4,No,No,High,Low,Low
90,7,No,No,Low,Medium,Low
126,5,No,Yes,High,High,Medium
95,10,Yes,No,Low,Low,Medium
127,6,No,Yes,High,High,Medium
112,1,Yes,Yes,High,Medium,High
107,4,Yes,No,High,Low,Medium
105,5,No,No,High,Medium,Medium
105,6,Yes,No,High,Low,Medium
71,6,No,No,Low,Low,Low
95,5,Yes,No,Medium,Low,Medium
112,3,No,Yes,High,High,Medium
99,2,No,No,Medium,High,High
78,7,No,No,Low,Low,Low
99,1,No,No,High,High,Low
125,5,Yes,Yes,Medium,High,High
118,4,No,No,Medium,Medium,Low
99,7,Yes,No,High,Low,Low
114,2,Yes,Yes,Medium,High,High
94,8,No,No,Low,Low,Low
74,9,No,No,Low,High,High
86,10,Yes,No,High,High,Low
123,1,No,Yes,High,Low,Medium
95,5,No,No,High,Medium,High
96,4,No,No,Medium,Medium,Low
95,5,Yes,No,High,Low,Low
128,9,No,No,High,Low,Low
124,3,No,Yes,High,High,Medium
133,1,Yes,Yes,High,High,Low
97,3,Yes,No,Medium,Medium,Medium
104,4,No,No,Medium,Medium,Low
77,2,No,No,Medium,Low,High
122,1,No,No,Medium,Low,Low
82,1,No,No,High,Low,High
103,8,No,No,High,Low,High
83,4,No,No,High,Medium,Low
91,2,No,No,Medium,Low,Low
87,10,Yes,No,Low,Low,Low
90,3,Yes,No,Low,High,High
91,8,No,No,Medium,Low,High
91,6,No,No,Medium,High,Medium
112,8,No,Yes,High,High,Medium
83,10,No,No,Low,High,Low
103,5,Yes,No,High,Medium,High
118,3,Yes,No,Medium,Low,Medium
92,6,No,No,High,Medium,Low
89,10,Yes,Yes,High,High,Medium
96,8,No,No,Low,Low,High
117,5,No,No,High,Low,Low
102,5,Yes,No,High,Low,High
92,3,Yes,No,Medium,Medium,Medium
107,3,No,No,High,Medium,High
83,8,Yes,No,Low,High,Low
110,1,No,Yes,High,High,High
106,4,No,No,High,Medium,High
95,9,Yes,No,Low,Medium,High
87,6,No,No,Medium,Medium,High
86,6,No,No,High,High,Low
108,10,No,No,Medium,Low,High
118,7,No,Yes,High,High,High
90,7,Yes,No,High,Medium,High
106,6,No,No,High,High,Medium
68,9,Yes,No,Medium,Low,High
91,8,No,No,Medium,Low,High
99,8,Yes,No,Low,High,Low
86,2,Yes,Yes,High,High,Medium
85,7,No,No,High,Medium,Medium
89,1,Yes,Yes,High,High,High
104,10,No,No,High,High,Low
66,3,No,No,Low,High,Medium
68,9,No,Yes,High,High,Medium
90,5,Yes,No,Medium,High,Low
106,7,No,No,Medium,High,Medium
58,7,No,No,Low,Medium,High
92,9,Yes,No,Low,Low,High
92,2,Yes,No,Medium,Low,Medium
120,4,No,Yes,High,High,Low
94,8,Yes,No,High,Low,Low
105,5,No,Yes,High,High,High
102,5,Yes,Yes,High,High,Medium
68,3,No,No,High,Medium,Medium
111,5,Yes,Yes,High,High,Medium
103,7,No,No,Low,Medium,Low
107,4,Yes,No,High,Low,Low
158,8,No,Yes,Low,High,Medium
68,6,Yes,No,Medium,Low,Medium
125,6,No,No,Medium,Medium,Medium
95,6,Yes,No,Medium,Low,Medium
104,4,No,No,Medium,High,High
99,3,No,No,Low,High,High
93,10,Yes,No,High,Low,High
91,6,Yes,Yes,High,High,High
104,6,No,No,High,Medium,Low
77,2,Yes,No,High,Low,Low
111,10,No,No,Low,Medium,High
93,9,No,No,Low,Low,Medium
83,4,Yes,No,Medium,High,High
93,4,No,No,Medium,Medium,High
118,10,Yes,No,High,Low,Low
91,8,No,No,High,Medium,Medium
105,3,No,No,High,Medium,Medium
89,10,Yes,Yes,High,High,High
111,7,Yes,No,Medium,Medium,High
110,7,No,No,Low,High,High
127,2,No,No,High,Low,Low
97,3,Yes,No,Low,High,High
110,4,Yes,No,Medium,Medium,Medium
101,2,Yes,No,Low,High,Medium
119,9,No,No,Medium,Low,High
89,10,Yes,No,Low,Low,Low
111,6,No,No,Low,Medium,Medium
97,1,Yes,No,High,Low,Medium
99,1,No,No,High,Medium,Low
101,8,Yes,No,High,Low,High
103,6,Yes,No,High,Medium,High
98,10,No,No,Low,Low,High
103,7,Yes,No,Medium,Low,Medium
123,6,Yes,No,Low,Low,Medium
114,2,No,Yes,High,High,High
113,3,Yes,No,High,Low,Low
93,8,Yes,No,Low,High,High
86,4,Yes,No,Medium,Low,High
114,8,No,Yes,High,Low,Medium
113,3,Yes,Yes,High,Medium,Medium
122,2,Yes,Yes,High,Low,Medium
90,7,Yes,No,Medium,Medium,Medium
96,1,No,No,Medium,Low,Low
75,3,No,No,High,Low,Medium
94,2,No,Yes,High,High,Medium
114,5,No,Yes,High,Medium,High
93,2,No,Yes,High,High,Medium
109,10,No,No,High,Low,High
97,5,No,No,High,Low,Medium
104,3,Yes,No,Medium,Low,Medium
82,9,Yes,No,Medium,High,Medium
101,10,No,No,High,High,Low
55,9,Yes,No,Medium,Medium,High
97,8,No,No,Medium,Low,High
75,5,No,No,High,Low,Medium
118,10,Yes,Yes,High,Medium,Medium
111,7,No,Yes,Medium,High,Medium
107,2,No,No,Medium,Low,Medium
122,3,Yes,No,High,Low,Low
85,2,No,No,High,Low,Low
126,10,No,Yes,High,Medium,High
113,1,No,No,Medium,Medium,Medium
96,3,No,No,Medium,High,Medium
117,4,No,Yes,High,High,High
83,9,No,No,High,Low,Medium
87,2,No,No,High,Low,Medium
92,1,Yes,No,Medium,High,Medium
84,9,No,No,Medium,High,Medium
118,6,No,Yes,High,High,High
96,8,No,No,High,Low,High
105,3,No,No,Medium,High,Low
91,8,No,No,Low,Low,Medium
72,9,Yes,No,High,Low,High
104,7,No,No,Low,High,Medium
71,4,No,Yes,High,High,High
98,6,Yes,No,High,Medium,Medium
79,6,Yes,No,Medium,Low,Medium
129,2,No,No,Medium,Low,Medium
113,2,Yes,No,High,Medium,Low
101,5,No,No,Medium,High,Low
118,1,No,No,Medium,Medium,High
87,5,Yes,Yes,,High,Medium
108,10,Yes,No,High,Low,Low
102,3,No,No,High,Low,High
103,3,Yes,No,Medium,High,Low
119,8,Yes,No,Low,Medium,Low
110,3,Yes,No,Low,High,High
104,3,Yes,No,Medium,High,Medium
75,1,No,Yes,High,High,High
85,8,No,No,Medium,Medium,Low
98,10,Yes,Yes,High,High,Medium
101,10,No,No,Medium,Low,Medium
83,6,Yes,No,Medium,Medium,High
136,8,No,No,High,Medium,Low
122,3,No,No,Low,Medium,Low
109,6,Yes,No,Medium,Medium,Low
101,2,Yes,No,Medium,High,High
96,3,No,No,Low,Medium,Medium
85,4,No,No,High,High,High
101,9,No,No,Medium,High,High
103,4,No,No,High,Low,High
81,7,No,No,High,Low,Medium
105,8,Yes,No,Medium,Medium,Medium
97,5,No,No,Low,High,Medium
71,2,No,Yes,High,High,Medium
87,8,No,No,Low,Medium,Low
93,5,Yes,No,High,Medium,Medium
128,5,No,No,High,Low,Low
108,7,No,No,Medium,High,High
79,6,No,Yes,High,High,High
107,3,No,No,High,Medium,Low
76,7,No,Yes,High,High,High
116,1,No,Yes,Medium,High,High
92,4,Yes,No,Medium,Low,High
98,4,No,No,High,Low,High
119,6,No,No,Medium,High,Low
80,6,No,No,High,Low,Medium
79,10,Yes,No,Low,High,Medium
91,8,Yes,No,Low,Low,Low
115,1,No,Yes,High,Medium,Medium
77,7,No,No,High,Low,Low
57,4,No,No,High,Low,Medium
93,6,No,Yes,High,High,Medium
108,10,Yes,No,Low,High,Medium
118,9,No,No,Low,Low,Low
93,3,No,No,High,Low,High
93,8,No,No,Medium,High,Low
117,3,Yes,Yes,High,High,Low
71,6,No,No,High,Low,Low
94,2,Yes,No,Low,Medium,High
102,9,Yes,No,Medium,Low,Medium
106,2,No,No,Medium,High,Medium
92,5,No,No,High,Medium,Medium
100,6,No,No,High,Medium,Low
62,4,No,No,High,Low,High
90,7,No,No,High,High,High
106,7,Yes,No,Medium,Low,Medium
85,7,No,No,Low,High,High
100,7,Yes,No,Medium,Medium,Medium
106,10,Yes,No,Low,High,Medium
94,10,Yes,No,Low,Low,High
102,9,No,No,Medium,Low,Low
85,2,Yes,No,Medium,Medium,High
96,5,Yes,No,Low,High,Low
109,10,No,No,High,Medium,High
102,9,Yes,No,High,High,Medium
91,2,Yes,No,Low,High,Low
103,3,Yes,No,High,Low,High
110,7,No,No,Low,Medium,High
69,9,No,No,High,High,Low
117,3,Yes,No,Low,Medium,Low
94,10,No,Yes,High,High,Medium
106,8,No,No,Low,Low,Low
117,8,Yes,Yes,High,High,High
79,4,No,No,Medium,High,Medium
89,6,No,No,High,Medium,Medium
95,8,Yes,No,Medium,High,Medium
88,9,Yes,No,Low,High,Low
126,2,No,Yes,High,High,Low
87,1,Yes,No,Low,Low,High
91,5,Yes,No,High,High,Low
103,10,No,No,Low,Low,Low
81,3,Yes,No,Medium,Medium,High
94,6,No,No,High,Medium,Medium
104,1,Yes,No,Medium,High,Low
95,4,Yes,No,Medium,Medium,High
98,6,No,No,High,High,Low
92,2,No,Yes,High,High,Medium
77,8,No,No,High,Low,Medium
104,4,No,No,Medium,High,Low
126,2,No,No,Medium,Medium,Low
100,1,No,No,Medium,Low,High
103,8,No,No,Medium,Low,Low
110,10,Yes,No,High,Medium,Low
80,1,No,No,Medium,Low,Low
125,7,No,No,Medium,Medium,High
103,7,Yes,No,Medium,Medium,Low
124,6,Yes,Yes,High,High,High
89,8,No,No,High,Medium,High
127,10,No,Yes,High,High,Medium
111,1,Yes,No,Medium,Medium,Low
108,1,No,No,High,Medium,High
103,1,No,No,High,Medium,High
96,6,Yes,No,Low,Low,High
118,7,Yes,Yes,Low,High,Medium
102,10,No,No,Low,High,High
70,9,Yes,No,High,Low,Medium
83,10,Yes,No,High,Low,Medium
97,5,Yes,No,Medium,High,High
104,1,No,No,Medium,Low,High
99,9,Yes,No,High,Low,High
118,5,Yes,No,High,Medium,Low
70,6,Yes,No,High,Low,High
102,9,Yes,No,Medium,Low,Medium
72,2,Yes,No,Low,Medium,Medium
111,3,Yes,No,Low,Low,Low
98,7,Yes,No,Low,Medium,Low
106,3,Yes,No,Medium,High,High
87,2,Yes,No,High,Low,Medium
119,7,No,No,Low,Medium,High
115,8,No,No,Medium,Low,Low
108,9,No,No,Low,High,Low
98,2,No,No,High,Low,High
108,2,No,No,High,Medium,High
89,7,Yes,No,High,Low,Low
112,4,No,Yes,Medium,High,High
124,5,No,Yes,Medium,High,High
116,1,Yes,No,Low,Low,High
89,6,No,No,Low,High,Low
105,10,No,No,High,Low,High
80,8,No,No,,Medium,Low
108,1,No,No,High,Low,Medium
106,2,Yes,No,High,Medium,High
71,7,Yes,No,High,Medium,Medium
82,2,Yes,No,Low,Medium,High
95,9,Yes,Yes,High,High,High
95,6,No,No,Low,Medium,Medium
81,5,Yes,No,High,Low,Low
105,7,No,No,Low,Low,Medium
103,10,Yes,No,Medium,Low,Medium
97,8,Yes,No,High,Low,Low
88,9,No,No,Medium,Low,Medium
115,6,No,Yes,Low,High,High
124,5,No,No,Medium,Medium,Low
92,7,No,No,Medium,Medium,High
90,2,Yes,No,High,Low,Medium
107,8,No,No,High,Low,Low
94,4,No,No,Medium,Medium,High
97,1,Yes,No,Low,Low,High
111,3,Yes,Yes,High,Low,High
71,9,No,No,Low,Low,High
119,4,Yes,No,Low,Low,Low
101,10,No,No,Medium,Low,High
93,10,No,No,High,Medium,Medium
98,3,Yes,No,Low,Medium,Low
99,4,Yes,No,Low,Medium,Medium
74,3,No,No,High,Medium,Medium
122,3,No,No,Medium,Low,High
100,2,Yes,No,High,Medium,High
106,6,No,No,Medium,Medium,Low
114,10,No,No,Medium,Low,Low
84,6,Yes,No,Low,Medium,High
107,10,No,No,Medium,Medium,Low
95,4,No,Yes,High,High,High
112,8,Yes,Yes,High,Low,Medium
68,6,No,No,Medium,Low,High
98,8,No,No,Low,High,High
90,6,Yes,No,Low,High,Low
106,9,Yes,No,High,High,Low
107,3,No,No,High,High,Low
89,3,Yes,No,Medium,High,High
89,2,No,No,High,Medium,Low
98,10,No,No,High,Medium,High
86,6,No,Yes,High,High,Medium
112,7,No,No,Low,Low,Low
94,7,Yes,No,Medium,Low,Medium
56,5,No,No,Low,High,Low
94,6,No,No,High,Medium,High
84,7,No,No,High,Medium,Low
75,2,No,No,Medium,High,Low
81,10,No,No,Low,Medium,Low
101,7,Yes,No,Medium,Medium,Low
119,1,No,No,Medium,Low,High
104,6,Yes,No,High,Low,Medium
90,8,Yes,No,Medium,Medium,Medium
106,1,Yes,No,Low,Medium,High
93,1,Yes,No,High,Low,Medium
89,6,No,No,Medium,Low,Low
82,5,Yes,No,High,Medium,Low
73,3,No,No,Low,High,Low
94,10,No,No,High,Medium,High
102,10,No,No,Medium,Low,High
98,7,No,Yes,High,High,Medium
93,7,No,No,Medium,Medium,Medium
85,7,No,No,High,Medium,High
109,6,No,Yes,High,High,High
80,4,Yes,No,High,Medium,High
111,9,No,No,High,Medium,Low
84,9,No,No,Medium,High,High
88,7,No,No,Medium,Low,Medium
77,7,Yes,No,Low,Low,High
92,8,No,No,High,High,Low
114,5,Yes,Yes,High,High,High
107,9,No,No,High,Low,Medium
114,6,No,No,Medium,Low,Medium
107,7,Yes,No,Medium,Low,Low
83,7,No,No,Low,Medium,High
95,9,Yes,No,High,Low,Medium
88,7,No,No,Low,Low,Low
119,3,No,No,High,Medium,Low
82,6,Yes,No,Medium,Low,Medium
113,6,No,No,Medium,Medium,Low
113,7,Yes,No,High,Low,Low
127,6,Yes,No,Medium,Low,Low
93,4,No,No,Low,High,Medium
110,6,Yes,No,High,Low,High
134,3,No,No,Low,Medium,Medium
90,1,No,No,High,Low,Low
76,1,Yes,No,High,Low,High
71,5,No,No,Low,High,Low
110,8,No,No,High,Low,Medium
71,3,No,No,Low,Low,Low
94,2,No,No,High,Low,Medium
106,8,No,No,High,Medium,High
102,9,No,No,High,Medium,Medium
106,9,No,No,Medium,Low,Medium
103,2,No,No,Medium,Medium,Medium
119,8,No,No,Low,Low,Low
85,2,No,Yes,High,High,High
89,7,No,No,High,Low,Medium
88,8,No,No,High,Medium,High
112,1,No,Yes,High,Low,High
113,8,Yes,No,Medium,Medium,Medium
106,3,Yes,No,Low,Low,Medium
117,1,No,No,Low,Medium,High
82,7,No,No,Medium,High,High
125,10,No,No,Low,Low,High
122,3,No,No,High,Low,Medium
111,8,Yes,No,Medium,Low,High
126,9,Yes,Yes,Low,High,High
75,2,No,Yes,High,High,High
92,1,Yes,No,Medium,High,High
88,8,No,No,High,Low,Medium
110,10,Yes,No,Medium,Low,Low
84,6,No,No,Medium,High,Medium
111,10,Yes,Yes,High,Low,High
120,1,Yes,No,Low,Medium,Low
110,3,Yes,No,Medium,High,Medium
104,9,No,No,High,Medium,Low
85,9,No,No,High,Medium,Medium
87,6,Yes,No,Low,High,High
118,3,Yes,No,Medium,Medium,High
111,8,No,No,High,Medium,Low
99,6,No,No,High,Medium,Medium
93,1,Yes,No,Low,Medium,Medium
69,6,No,No,Low,High,High
83,5,Yes,No,Medium,Low,Medium
128,8,No,No,Medium,Low,Medium
80,2,Yes,No,Medium,High,Medium
102,7,No,No,Low,High,Low
115,6,No,No,Medium,Medium,High
81,1,No,No,Low,Medium,High
102,8,No,No,High,Medium,Low
114,6,Yes,No,Low,Medium,High
100,3,Yes,No,Medium,Medium,High
143,5,Yes,No,Low,Medium,High
74,7,No,No,High,Medium,Low
115,9,No,Yes,High,High,Medium
97,4,Yes,No,High,Low,Medium
111,2,No,No,Low,High,Low
106,3,Yes,Yes,High,High,Medium
89,7,Yes,No,Medium,High,High
103,8,Yes,No,Medium,Medium,Medium
72,5,Yes,No,High,Low,High
109,3,Yes,Yes,High,High,High
104,1,No,No,High,Low,Low
109,10,No,No,High,Low,Low
115,1,No,Yes,,Medium,High
105,2,No,No,Low,Medium,High
102,5,No,No,Medium,Low,Low
86,3,Yes,No,Low,Low,High
89,7,No,No,High,Medium,High
117,2,No,Yes,Low,High,Medium
121,2,No,Yes,High,High,Low
96,3,No,No,Medium,High,High
100,1,No,No,Medium,Medium,High
86,2,No,No,Low,High,High
117,5,Yes,No,Medium,Low,Medium
109,3,No,No,High,Low,Medium
129,10,Yes,No,Low,Medium,Medium
86,6,Yes,No,Medium,Medium,High
94,2,No,No,Low,Low,Low
103,8,No,No,Medium,Low,Medium
109,4,No,No,Low,Low,Low
96,3,No,No,Medium,Medium,Medium
86,5,Yes,No,High,High,Low
113,8,No,No,Medium,Low,Medium
110,9,Yes,No,Medium,Medium,Medium
86,1,No,No,High,Low,Medium
120,4,No,Yes,Medium,High,Medium
